6860,7806,5405,1707,403,8476,2541,283,1283,5133,7800,8937,1829,7768,7730,5,9919,4053,3593,2663
1732,7733,8295,3948,7231,9099,1694,9716,5395,6470,6091,1017,1888,720,5669,2528,9532,4096,5932,9528
2845,1325,2879,1103,8281,7528,1565,7825,8314,3637,163,4370,6301,194,101,6547,1321,5644,3135,3714
6216,1480,225,7360,9879,5391,9068,3063,7366,5723,9837,4429,1124,9072,2069,4853,6641,3232,6733,6752
3476,1114,1628,4352,8171,8540,4103,6210,5744,1584,7987,5406,3632,2617,3418,2798,2534,7986,8662,6466
7953,2961,7212,1988,6475,8050,8760,1255,7623,4935,8876,8557,7007,9188,7959,7416,2705,9262,101,6413
1409,30,2389,6804,7839,1585,5223,9952,9856,539,6142,465,6637,4108,1757,2195,3330,7130,2467,480
4841,787,3236,7926,7167,2484,3890,9930,6171,9274,4946,9026,10,7068,1086,5156,6336,8114,9527,9568
7309,682,7258,4819,7348,7434,9610,6055,1971,2241,7744,7758,4955,3514,4378,4623,7999,4440,1077,1500
3466,7509,1695,7387,6950,6146,739,8732,4731,4007,3051,5229,112,9911,4514,2106,4900,7611,5672,2485
2535,4639,1763,8388,9267,8538,7205,6898,6251,6827,5380,7586,3467,8599,408,3909,7781,85,2428,5923
5651,7008,7671,8050,9193,4448,9319,13,8425,7810,5516,6256,3514,8610,5058,6870,960,7294,9299,1715
4200,8362,8807,6266,980,4107,3534,8603,9730,188,4175,1869,9267,9127,8903,3661,1834,6138,3255,8574
1691,31,105,8780,73,4414,8213,9534,1982,1305,6260,9510,9668,7381,5242,2301,4437,8787,8094,8335
7418,7355,8206,7047,7184,3252,6257,4336,4672,4733,2701,1555,9041,2709,9033,6802,315,9054,603,3738
5166,2158,9445,5915,2455,1869,4932,3736,2394,4445,5511,4057,5784,7961,1545,2689,8362,8838,4177,6288
4737,3981,9950,1133,7977,8127,8315,1755,3853,1884,4538,3375,9480,5729,1086,1408,1965,7540,2424,4197
8899,3963,2048,5008,2630,1558,6864,9096,8351,8108,1478,6505,5202,8773,986,1500,9714,9727,6571,8979
3911,722,4547,3701,7566,7719,4141,3438,461,3660,4496,5593,7036,6281,7455,1493,6434,8089,9087,8379
